Date,Close,Monthly_Return,Drawdown_ATH,Volatility_12m,Interest_Rate,Crash_Label,Inflation_Rate
1871-01-01,100.0,,0.0,,0.053200000000000004,,0.023013384003863248
1871-02-01,101.83933933933933,0.018393393393393256,0.0,,0.053233333333333334,,0.023013384003863248
1871-03-01,104.81908297186075,0.029259259259259304,0.0,,0.05326666666666667,,0.023013384003863248
1871-04-01,108.2675777478692,0.03289949385394065,0.0,,0.0533,,0.023013384003863248
1871-05-01,111.5034230743702,0.029887482419127902,0.0,,0.05333333333333334,,0.023013384003863248
1871-06-01,111.08279973629816,-0.003772290809327809,-0.003772290809327904,,0.053366666666666666,,0.023013384003863248
1871-07-01,109.50797442883335,-0.014177040110650003,-0.01789585100186508,,0.053399999999999996,,0.023013384003863248
1871-08-01,111.3987040789436,0.01726568005637765,-0.0009391549832220275,,0.05343333333333334,,0.023013384003863248
1871-09-01,113.06542094581712,0.01496172581767563,0.0,,0.053466666666666676,,0.023013384003863248
1871-10-01,107.7314117620785,-0.047176308539944894,-0.047176308539945006,,0.053500000000000006,,0.023013384003863248
1871-11-01,109.41349262837095,0.015613652868554866,-0.0322992501765526,,0.053533333333333336,,0.023013384003863248
1871-12-01,112.28245274398556,0.02622126436781611,-0.006924912986498116,,0.053566666666666665,,0.023013384003863248
1872-01-01,115.64480685366962,0.029945499296765033,0.0,0.08159431341866497,0.0536,,0.015270350294076973
1872-02-01,116.64956034531491,0.008688271604938142,0.0,0.08139922094291743,0.05378333333333333,,-0.01481159148475153
1872-03-01,121.01196705904853,0.03739754098360659,0.0,0.08369594057594328,0.05396666666666666,,-0.014601533586735327
1872-04-01,124.92024541977007,0.032296626984126886,0.0,0.08353619242227849,0.05415000000000001,,0.045457476403731656
1872-05-01,125.47631736165634,0.004451415701415702,0.0,0.08153016166534194,0.05433333333333334,,0.06976851608941548
1872-06-01,124.83036463392581,-0.005148005148005128,-0.005148005148005122,0.0817974780838762,0.054516666666666665,,0.07874311308036419
1872-07-01,124.67483362405865,-0.0012459389213775734,-0.006387529969401331,0.07858197179965849,0.054700000000000006,,0.06299180928326176
1872-08-01,123.7921276533184,-0.007080065359477082,-0.01342237119920928,0.08025365563779908,0.05488333333333333,,0.08799754875701815
1872-09-01,122.17513392239707,-0.013062169312169249,-0.026309215226203855,0.08286245501207129,0.05506666666666667,,0.07031369499632101
1872-10-01,123.2720362611313,0.008978114478114283,-0.01756730789421966,0.05842537983345516,0.055249999999999994,,0.030769129597337352
1872-11-01,123.38923150687253,0.000950704225352198,-0.016633304982710546,0.05911351290603105,0.05543333333333333,,0.06154480787944405
1872-12-01,127.00366354091221,0.029292929292929225,0.0,0.060093409274746795,0.05561666666666667,,0.02255460996183767
1873-01-01,128.6371343943107,0.012861604207758094,0.0,0.05636137552150781,0.0558,,0.02255460996183767
1873-02-01,130.283907885823,0.012801696020874102,0.0,0.05648400002551604,0.05570833333333334,,0.045109220713914766
1873-03-01,129.92025134682132,-0.00279126213592235,-0.00279126213592226,0.048460237386804474,0.055616666666666655,,0.029629489879753113
1873-04-01,128.79732679995544,-0.008643183300717602,-0.011410320046358696,0.040961425138663764,0.05552499999999999,,0.007241683664388265
1873-05-01,129.71837249838435,0.007151124338624332,-0.00434079232512938,0.041181922214748784,0.05543333333333333,,-0.014495703833540818
1873-06-01,128.59457471683896,-0.008663366336633564,-0.012966552787659066,0.042066213013974764,0.055341666666666664,,-0.03649761991431677
1873-07-01,129.01956515369596,0.003304886211512581,-0.009704519557665301,0.04186439236695332,0.05525,,-0.022220540292984925
1873-08-01,129.71182304855148,0.005365526492287056,-0.0043910629221597846,0.04044551994148019,0.05515833333333333,,-0.02941158020908008
